,start,end,orig_time,location
0,13600,13699,13673,3
1,25400,25549,25537,3
2,38450,38549,38525,3
3,50950,51099,51085,4
4,63450,63599,63592,3
5,75500,75599,75596,3
6,87800,87899,87870,4
7,100000,100149,100135,3
8,112500,112649,112619,3
9,124800,124899,124868,3
10,137450,137599,137580,3
11,149600,149749,149742,3
12,161950,162099,162094,3
13,174800,174949,174936,3
14,187000,187099,187076,3
15,199350,199499,199479,3
16,211800,211899,211873,3
17,223600,223749,223729,3
18,235500,235649,235640,3
19,248300,248399,248370,4
